GEONR;GEONAME;CLASS_HAB;VARIABLE;VALUE;STATUS
2703;Riehen;4;depc_med;746;A
2703;Riehen;4;depc_spo;8030;A
2703;Riehen;4;depc_egl;0;A
2703;Riehen;4;depic_t;293;A
2703;Riehen;4;depic_pat_cul;256;A
2703;Riehen;4;depic_cula;0;A
2703;Riehen;4;depic_med;29;A
2703;Riehen;4;depic_spo;8;A
2703;Riehen;4;depic_egl;0;A
2939;Schaffhausen;4;depc_t;22827;A
2939;Schaffhausen;4;depc_pat_cul;4992;A
2939;Schaffhausen;4;depc_cula;7713;A
2939;Schaffhausen;4;depc_med;10;A
2939;Schaffhausen;4;depc_spo;10112;A
2939;Schaffhausen;4;depc_egl;0;A
2939;Schaffhausen;4;depic_t;1706;A
2939;Schaffhausen;4;depic_pat_cul;109;A
2939;Schaffhausen;4;depic_cula;246;A
2939;Schaffhausen;4;depic_med;0;A
2939;Schaffhausen;4;depic_spo;1351;A
2939;Schaffhausen;4;depic_egl;0;A
6266;Sion;4;depc_t;22918;A
6266;Sion;4;depc_pat_cul;262;A
6266;Sion;4;depc_cula;4199;A
6266;Sion;4;depc_med;0;A
6266;Sion;4;depc_spo;18457;A
6266;Sion;4;depc_egl;0;A
6266;Sion;4;depic_t;5533;A
6266;Sion;4;depic_pat_cul;262;A
6266;Sion;4;depic_cula;400;A
6266;Sion;4;depic_med;0;A
6266;Sion;4;depic_spo;4871;A
6266;Sion;4;depic_egl;0;A
942;Thun;4;depc_t;15072;A
942;Thun;4;depc_pat_cul;2435;A
942;Thun;4;depc_cula;3305;A
942;Thun;4;depc_med;0;A
942;Thun;4;depc_spo;9331;A
942;Thun;4;depc_egl;0;A
942;Thun;4;depic_t;2530;A
942;Thun;4;depic_pat_cul;99;A
942;Thun;4;depic_cula;95;A
942;Thun;4;depic_med;0;A
942;Thun;4;depic_spo;2336;A
942;Thun;4;depic_egl;0;A
198;Uster;4;depc_t;12280;A
198;Uster;4;depc_pat_cul;251;A
198;Uster;4;depc_cula;5109;A
198;Uster;4;depc_med;0;A
198;Uster;4;depc_spo;6920;A
198;Uster;4;depc_egl;0;A
198;Uster;4;depic_t;677;A
198;Uster;4;depic_pat_cul;0;A
198;Uster;4;depic_cula;148;A
198;Uster;4;depic_med;0;A
198;Uster;4;depic_spo;528;A
198;Uster;4;depic_egl;0;A
6643;Vernier;4;depc_t;26025;A
6643;Vernier;4;depc_pat_cul;0;A
6643;Vernier;4;depc_cula;5159;A
6643;Vernier;4;depc_med;252;A
6643;Vernier;4;depc_spo;20614;A
6643;Vernier;4;depc_egl;0;A
6643;Vernier;4;depic_t;10601;A
6643;Vernier;4;depic_pat_cul;0;A
6643;Vernier;4;depic_cula;979;A
6643;Vernier;4;depic_med;0;A
6643;Vernier;4;depic_spo;9622;A
6643;Vernier;4;depic_egl;0;A
