GEONAME;VARIABLE;VALUE
Montreux;depc_cula;8740.0
Montreux;depc_med;0.0
Montreux;depc_spo;15349.0
Montreux;depc_egl;754.0
Montreux;depic_t;4248.0
Montreux;depic_pat_cul;0.0
Montreux;depic_cula;927.0
Montreux;depic_med;0.0
Montreux;depic_spo;3285.0
Montreux;depic_egl;36.0
Neuchâtel;depc_t;43448.0
Neuchâtel;depc_pat_cul;12347.0
Neuchâtel;depc_cula;10338.0
Neuchâtel;depc_med;390.0
Neuchâtel;depc_spo;19786.0
Neuchâtel;depc_egl;586.0
Neuchâtel;depic_t;5183.0
Neuchâtel;depic_pat_cul;3101.0
Neuchâtel;depic_cula;88.0
Neuchâtel;depic_med;0.0
Neuchâtel;depic_spo;1994.0
Neuchâtel;depic_egl;0.0
Nyon;depc_t;21056.0
Nyon;depc_pat_cul;3809.0
Nyon;depc_cula;3189.0
Nyon;depc_med;360.0
Nyon;depc_spo;13535.0
Nyon;depc_egl;163.0
Nyon;depic_t;4324.0
Nyon;depic_pat_cul;437.0
Nyon;depic_cula;0.0
Nyon;depic_med;0.0
Nyon;depic_spo;3887.0
Nyon;depic_egl;0.0
Opfikon;depc_t;6743.0
Opfikon;depc_pat_cul;0.0
Opfikon;depc_cula;776.0
Opfikon;depc_med;0.0
Opfikon;depc_spo;5966.0
Opfikon;depc_egl;0.0
Opfikon;depic_t;2617.0
Opfikon;depic_pat_cul;0.0
Opfikon;depic_cula;0.0
Opfikon;depic_med;0.0
Opfikon;depic_spo;2617.0
Opfikon;depic_egl;0.0
Rapperswil-Jona;depc_t;14689.0
Rapperswil-Jona;depc_pat_cul;745.0
Rapperswil-Jona;depc_cula;2645.0
Rapperswil-Jona;depc_med;12.0
Rapperswil-Jona;depc_spo;11288.0
Rapperswil-Jona;depc_egl;0.0
Rapperswil-Jona;depic_t;5693.0
Rapperswil-Jona;depic_pat_cul;145.0
Rapperswil-Jona;depic_cula;433.0
Rapperswil-Jona;depic_med;0.0
Rapperswil-Jona;depic_spo;5115.0
Rapperswil-Jona;depic_egl;0.0
Renens (VD);depc_t;8542.0
Renens (VD);depc_pat_cul;0.0
Renens (VD);depc_cula;3546.0
Renens (VD);depc_med;111.0
Renens (VD);depc_spo;4588.0
Renens (VD);depc_egl;297.0
Renens (VD);depic_t;76.0
Renens (VD);depic_pat_cul;0.0
Renens (VD);depic_cula;0.0
Renens (VD);depic_med;0.0
Renens (VD);depic_spo;76.0
Renens (VD);depic_egl;0.0
Riehen;depc_t;13106.0
Riehen;depc_pat_cul;1722.0
Riehen;depc_cula;2608.0
Riehen;depc_med;746.0
Riehen;depc_spo;8030.0
Riehen;depc_egl;0.0
Riehen;depic_t;293.0
Riehen;depic_pat_cul;256.0
Riehen;depic_cula;0.0
Riehen;depic_med;29.0
Riehen;depic_spo;8.0
Riehen;depic_egl;0.0
Schaffhausen;depc_t;22827.0
Schaffhausen;depc_pat_cul;4992.0
Schaffhausen;depc_cula;7713.0
Schaffhausen;depc_med;10.0
Schaffhausen;depc_spo;10112.0
Schaffhausen;depc_egl;0.0
Schaffhausen;depic_t;1706.0
Schaffhausen;depic_pat_cul;109.0
Schaffhausen;depic_cula;246.0
Schaffhausen;depic_med;0.0
Schaffhausen;depic_spo;1351.0
Schaffhausen;depic_egl;0.0
Sion;depc_t;22918.0
Sion;depc_pat_cul;262.0
Sion;depc_cula;4199.0
Sion;depc_med;0.0
Sion;depc_spo;18457.0
Sion;depc_egl;0.0
Sion;depic_t;5533.0
Sion;depic_pat_cul;262.0
Sion;depic_cula;400.0
Sion;depic_med;0.0
Sion;depic_spo;4871.0
Sion;depic_egl;0.0
Thun;depc_t;15072.0
Thun;depc_pat_cul;2435.0
Thun;depc_cula;3305.0
Thun;depc_med;0.0
Thun;depc_spo;9331.0
Thun;depc_egl;0.0
Thun;depic_t;2530.0
Thun;depic_pat_cul;99.0
Thun;depic_cula;95.0
Thun;depic_med;0.0
Thun;depic_spo;2336.0
Thun;depic_egl;0.0
Uster;depc_t;12280.0
Uster;depc_pat_cul;251.0
Uster;depc_cula;5109.0
Uster;depc_med;0.0
Uster;depc_spo;6920.0
Uster;depc_egl;0.0
Uster;depic_t;677.0
Uster;depic_pat_cul;0.0
Uster;depic_cula;148.0
Uster;depic_med;0.0
Uster;depic_spo;528.0
Uster;depic_egl;0.0
Vernier;depc_t;26025.0
Vernier;depc_pat_cul;0.0
Vernier;depc_cula;5159.0
Vernier;depc_med;252.0
Vernier;depc_spo;20614.0
Vernier;depc_egl;0.0
Vernier;depic_t;10601.0
Vernier;depic_pat_cul;0.0
Vernier;depic_cula;979.0
Vernier;depic_med;0.0
Vernier;depic_spo;9622.0
Vernier;depic_egl;0.0
Wädenswil;depc_t;6426.0
Wädenswil;depc_pat_cul;10.0
Wädenswil;depc_cula;609.0
Wädenswil;depc_med;0.0
Wädenswil;depc_spo;5776.0
Wädenswil;depc_egl;31.0
Wädenswil;depic_t;318.0
Wädenswil;depic_pat_cul;0.0
Wädenswil;depic_cula;0.0
Wädenswil;depic_med;0.0
Wädenswil;depic_spo;318.0
Wädenswil;depic_egl;0.0
Wettingen;depc_t;14045.0
Wettingen;depc_pat_cul;456.0
Wettingen;depc_cula;727.0
Wettingen;depc_med;0.0
Wettingen;depc_spo;12862.0
Wettingen;depc_egl;0.0
Wettingen;depic_t;9109.0
Wettingen;depic_pat_cul;0.0
Wettingen;depic_cula;0.0
Wettingen;depic_med;0.0
Wettingen;depic_spo;9109.0
Wettingen;depic_egl;0.0
Wetzikon (ZH);depc_t;6858.0
Wetzikon (ZH);depc_pat_cul;200.0
Wetzikon (ZH);depc_cula;985.0
Wetzikon (ZH);depc_med;0.0
Wetzikon (ZH);depc_spo;5673.0
Wetzikon (ZH);depc_egl;0.0
Wetzikon (ZH);depic_t;71.0
Wetzikon (ZH);depic_pat_cul;0.0
Wetzikon (ZH);depic_cula;0.0
Wetzikon (ZH);depic_med;0.0
Wetzikon (ZH);depic_spo;71.0
Wetzikon (ZH);depic_egl;0.0
Wil (SG);depc_t;9668.0
Wil (SG);depc_pat_cul;53.0
Wil (SG);depc_cula;3880.0
Wil (SG);depc_med;12.0
Wil (SG);depc_spo;5724.0
Wil (SG);depc_egl;0.0
Wil (SG);depic_t;2985.0
Wil (SG);depic_pat_cul;0.0
Wil (SG);depic_cula;1514.0
Wil (SG);depic_med;0.0
Wil (SG);depic_spo;1471.0
Wil (SG);depic_egl;0.0
Yverdon-les-Bains;depc_t;20943.0
Yverdon-les-Bains;depc_pat_cul;1641.0
Yverdon-les-Bains;depc_cula;6805.0
Yverdon-les-Bains;depc_med;82.0
Yverdon-les-Bains;depc_spo;11559.0
Yverdon-les-Bains;depc_egl;855.0
Yverdon-les-Bains;depic_t;1406.0
Yverdon-les-Bains;depic_pat_cul;0.0
Yverdon-les-Bains;depic_cula;29.0
Yverdon-les-Bains;depic_med;0.0
Yverdon-les-Bains;depic_spo;1298.0
Yverdon-les-Bains;depic_egl;79.0
Zug;depc_t;12194.0
Zug;depc_pat_cul;1373.0
Zug;depc_cula;8350.0
Zug;depc_med;0.0
Zug;depc_spo;2471.0
Zug;depc_egl;0.0
Zug;depic_t;1580.0
Zug;depic_pat_cul;0.0
Zug;depic_cula;1563.0
Zug;depic_med;0.0
Zug;depic_spo;16.0
Zug;depic_egl;0.0
Adliswil;depc_t;7894.0
Adliswil;depc_pat_cul;0.0
Adliswil;depc_cula;787.0
Adliswil;depc_med;0.0
Adliswil;depc_spo;7107.0
Adliswil;depc_egl;0.0
Adliswil;depic_t;3482.0
Adliswil;depic_pat_cul;0.0
Adliswil;depic_cula;0.0
Adliswil;depic_med;0.0
Adliswil;depic_spo;3482.0
Adliswil;depic_egl;0.0
Baden;depc_t;17198.0
Baden;depc_pat_cul;1675.0
Baden;depc_cula;9262.0
Baden;depc_med;0.0
Baden;depc_spo;6261.0
Baden;depc_egl;0.0
Baden;depic_t;6113.0
Baden;depic_pat_cul;14.0
Baden;depic_cula;4596.0
Baden;depic_med;0.0
Baden;depic_spo;1504.0
Baden;depic_egl;0.0
Binningen;depc_t;4387.0
Binningen;depc_pat_cul;481.0
Binningen;depc_cula;362.0
Binningen;depc_med;925.0
Binningen;depc_spo;2619.0
Binningen;depc_egl;0.0
Binningen;depic_t;0.0
Binningen;depic_pat_cul;0.0
Binningen;depic_cula;0.0
Binningen;depic_med;0.0
Binningen;depic_spo;0.0
Binningen;depic_egl;0.0
Burgdorf;depc_t;11180.0
Burgdorf;depc_pat_cul;172.0
Burgdorf;depc_cula;7698.0
Burgdorf;depc_med;28.0
Burgdorf;depc_spo;3283.0
Burgdorf;depc_egl;0.0
Burgdorf;depic_t;7552.0
Burgdorf;depic_pat_cul;0.0
Burgdorf;depic_cula;6700.0
Burgdorf;depic_med;8.0
Burgdorf;depic_spo;845.0
Burgdorf;depic_egl;0.0
Cham;depc_t;4757.0
Cham;depc_pat_cul;39.0
Cham;depc_cula;2546.0
Cham;depc_med;0.0
Cham;depc_spo;2173.0
Cham;depc_egl;0.0
Cham;depic_t;0.0
Cham;depic_pat_cul;0.0
Cham;depic_cula;0.0
Cham;depic_med;0.0
Cham;depic_spo;0.0
Cham;depic_egl;0.0
Einsiedeln;depc_t;1168.0
Einsiedeln;depc_pat_cul;10.0
Einsiedeln;depc_cula;391.0
Einsiedeln;depc_med;0.0
Einsiedeln;depc_spo;767.0
Einsiedeln;depc_egl;0.0
Einsiedeln;depic_t;0.0
Einsiedeln;depic_pat_cul;0.0
Einsiedeln;depic_cula;0.0
Einsiedeln;depic_med;0.0
Einsiedeln;depic_spo;0.0
Einsiedeln;depic_egl;0.0
Freienbach;depc_t;2975.0
Freienbach;depc_pat_cul;0.0
Freienbach;depc_cula;361.0
Freienbach;depc_med;80.0
Freienbach;depc_spo;2533.0
Freienbach;depc_egl;0.0
Freienbach;depic_t;123.0
Freienbach;depic_pat_cul;0.0
Freienbach;depic_cula;0.0
Freienbach;depic_med;0.0
Freienbach;depic_spo;123.0
Freienbach;depic_egl;0.0
Glarus Nord;depc_t;3156.0
Glarus Nord;depc_pat_cul;195.0
Glarus Nord;depc_cula;1060.0
Glarus Nord;depc_med;0.0
Glarus Nord;depc_spo;1902.0
Glarus Nord;depc_egl;0.0
Glarus Nord;depic_t;0.0
Glarus Nord;depic_pat_cul;0.0
Glarus Nord;depic_cula;0.0
Glarus Nord;depic_med;0.0
Glarus Nord;depic_spo;0.0
Glarus Nord;depic_egl;0.0
Gossau (SG);depc_t;4904.0
Gossau (SG);depc_pat_cul;3.0
Gossau (SG);depc_cula;1831.0
Gossau (SG);depc_med;0.0
Gossau (SG);depc_spo;3070.0
Gossau (SG);depc_egl;0.0
Gossau (SG);depic_t;267.0
Gossau (SG);depic_pat_cul;0.0
Gossau (SG);depic_cula;0.0
Gossau (SG);depic_med;0.0
Gossau (SG);depic_spo;267.0
Gossau (SG);depic_egl;0.0
Grenchen;depc_t;5039.0
Grenchen;depc_pat_cul;423.0
Grenchen;depc_cula;1470.0
Grenchen;depc_med;0.0
Grenchen;depc_spo;3147.0
Grenchen;depc_egl;0.0
Grenchen;depic_t;1253.0
Grenchen;depic_pat_cul;5.0
Grenchen;depic_cula;619.0
Grenchen;depic_med;0.0
Grenchen;depic_spo;629.0
Grenchen;depic_egl;0.0
Herisau;depc_t;6012.0
Herisau;depc_pat_cul;112.0
Herisau;depc_cula;1082.0
Herisau;depc_med;15.0
Herisau;depc_spo;4755.0
Herisau;depc_egl;47.0
Herisau;depic_t;452.0
Herisau;depic_pat_cul;101.0
Herisau;depic_cula;169.0
Herisau;depic_med;0.0
Herisau;depic_spo;183.0
Herisau;depic_egl;0.0
Illnau-Effretikon;depc_t;2673.0
Illnau-Effretikon;depc_pat_cul;73.0
Illnau-Effretikon;depc_cula;446.0
Illnau-Effretikon;depc_med;0.0
Illnau-Effretikon;depc_spo;2154.0
Illnau-Effretikon;depc_egl;0.0
Illnau-Effretikon;depic_t;0.0
Illnau-Effretikon;depic_pat_cul;0.0
Illnau-Effretikon;depic_cula;0.0
Illnau-Effretikon;depic_med;0.0
Illnau-Effretikon;depic_spo;0.0
Illnau-Effretikon;depic_egl;0.0
Langenthal;depc_t;11450.0
Langenthal;depc_pat_cul;164.0
Langenthal;depc_cula;5091.0
Langenthal;depc_med;0.0
Langenthal;depc_spo;6195.0
Langenthal;depc_egl;0.0
Langenthal;depic_t;4395.0
Langenthal;depic_pat_cul;0.0
Langenthal;depic_cula;2274.0
Langenthal;depic_med;0.0
Langenthal;depic_spo;2122.0
Langenthal;depic_egl;0.0
Locarno;depc_t;5914.0
Locarno;depc_pat_cul;1969.0
Locarno;depc_cula;589.0
Locarno;depc_med;300.0
Locarno;depc_spo;2950.0
Locarno;depc_egl;107.0
Locarno;depic_t;1472.0
Locarno;depic_pat_cul;981.0
Locarno;depic_cula;24.0
Locarno;depic_med;0.0
Locarno;depic_spo;468.0
Locarno;depic_egl;0.0
Lyss;depc_t;4490.0
Lyss;depc_pat_cul;2.0
Lyss;depc_cula;689.0
Lyss;depc_med;0.0
Lyss;depc_spo;3800.0
Lyss;depc_egl;0.0
Lyss;depic_t;579.0
Lyss;depic_pat_cul;0.0
Lyss;depic_cula;0.0
Lyss;depic_med;0.0
Lyss;depic_spo;579.0
Lyss;depic_egl;0.0
Martigny;depc_t;9116.0
Martigny;depc_pat_cul;997.0
Martigny;depc_cula;2350.0
Martigny;depc_med;0.0
Martigny;depc_spo;5071.0
Martigny;depc_egl;698.0
Martigny;depic_t;440.0
Martigny;depic_pat_cul;0.0
Martigny;depic_cula;0.0
Martigny;depic_med;0.0
Martigny;depic_spo;440.0
Martigny;depic_egl;0.0
Monthey;depc_t;13137.0
Monthey;depc_pat_cul;74.0
Monthey;depc_cula;4627.0
Monthey;depc_med;71.0
Monthey;depc_spo;7460.0
Monthey;depc_egl;905.0
Monthey;depic_t;3841.0
Monthey;depic_pat_cul;0.0
Monthey;depic_cula;215.0
Monthey;depic_med;0.0
