nom;canton
Fontaine Dessus (Liddes);Valais
Fornex (Liddes);Valais
Les Moulins VS (Liddes);Valais
Liddes;Valais
Palasuit (Liddes);Valais
Petit Vichères (Liddes);Valais
Rive Haute (Liddes);Valais
Vichères (Liddes);Valais
Lignerolle;Vaud
Lignières;Neuchâtel
La Coudre;Vaud
L'Isle;Vaud
Villars-Bozon;Vaud
Lonay;Vaud
Longirod;Vaud
Lovatens;Vaud
Brenles;Vaud
Chesalles-sur-Moudon;Vaud
Cremin;Vaud
Forel-sur-Lucens;Vaud
Lucens;Vaud
Oulens-sur-Lucens;Vaud
Sarzens;Vaud
Lugnez;Jura
Luins;Vaud
Bollion;Fribourg
Lully FR;Fribourg
Seiry;Fribourg
Lully VD;Vaud
Lussery-Villars;Vaud
Lussy-sur-Morges;Vaud
La Conversion;Vaud
La Croix (Lutry);Vaud
Lutry;Vaud
Maracon;Vaud
Marchissy;Vaud
Marly;Fribourg
Marsens;Fribourg
Vuippens;Fribourg
Charrat;Valais
Martigny;Valais
Martigny-Croix;Valais
Ravoire;Valais
Massongex;Valais
Massonnens;Fribourg
Mathod;Vaud
Matran;Fribourg
Mauborget;Vaud
Mauraz;Vaud
Meinier;Genève
Ménières;Fribourg
Mervelier;Jura
Mettembert;Jura
Mex VD;Vaud
Meyriez;Fribourg
Cointrin;Genève
Meyrin;Genève
Berlens;Fribourg
Mézières FR;Fribourg
Mies;Vaud
Auvernier;Neuchâtel
Bôle;Neuchâtel
Colombier NE;Neuchâtel
Cormérod;Fribourg
Cournillens;Fribourg
Courtion;Fribourg
Misery;Fribourg
Missy;Vaud
Moiry VD;Vaud
Mollens VD;Vaud
Molondin;Vaud
Cousset;Fribourg
Grandsivaz;Fribourg
Mannens;Fribourg
Montagny-la-Ville;Fribourg
Montagny-les-Monts;Fribourg
Montagny-près-Yverdon;Vaud
Chanéaz;Vaud
Chapelle-sur-Moudon;Vaud
Correvon;Vaud
Denezy;Vaud
Martherenges;Vaud
Neyruz-sur-Moudon;Vaud
Peyres-Possens;Vaud
St-Cierges;Vaud
Thierrens;Vaud
Montcherand;Vaud
Montet (Glâne);Fribourg
Montfaucon;Jura
Montfavergier;Jura
Choëx;Valais
Les Giettes;Valais
Monthey;Valais
Dommartin;Vaud
Naz;Vaud
Poliez-le-Grand;Vaud
Sugnens;Vaud
Mont-la-Ville;Vaud
Mase;Valais
Nax;Valais
Vernamiège;Valais
Montpreveyres;Vaud
Brent;Vaud
Caux;Vaud
Chailly-Montreux;Vaud
Chamby;Vaud
Chernex;Vaud
Clarens;Vaud
Glion;Vaud
Les Avants;Vaud
Montreux;Vaud
Territet;Vaud
Villard-sur-Chamby;Vaud
Montricher;Vaud
Mont-sur-Rolle;Vaud
Lugnorre;Fribourg
Môtier (Vully);Fribourg
Mur (Vully) FR;Fribourg
Praz (Vully);Fribourg
Sugiez;Fribourg
Filet;Valais
Mörel;Valais
Morges;Vaud
Morlon;Fribourg
Morrens VD;Vaud
Moudon;Vaud
Movelier;Jura
Muntelier;Fribourg
Le Cerneux-Veusil;Jura
Les Emibois;Jura
Muriaux;Jura
Büchslen;Fribourg
Courlevon;Fribourg
Jeuss;Fribourg
Lurtigen;Fribourg
Murten;Fribourg
Salvenach;Fribourg
